Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
4/28/21,72.2,78.2,72.2,77.4,784,1464933,110212485.1
4/27/21,72.7,74.9,72.3,72.5,676,1011584,73805869.5
4/23/21,73,76.5,71.6,73.7,662,946704,69987596.1
4/22/21,78.5,78.5,75,76.2,830,1474431,112696063.9
4/21/21,76,79.5,74.9,78.4,1278,3594985,277478801.2
4/20/21,82.9,82.9,75.6,76.7,2009,4989167,391843362.5
4/19/21,84.7,84.7,82,83.1,810,2050001,170501456.2
4/16/21,84.5,85.3,81.5,84.8,1705,5613799,469493570.7
4/15/21,82.5,85.4,82.5,84.2,1555,5043649,426024372.3
4/12/21,76.5,82.1,76.5,81.4,1863,4504441,359942790.8
4/9/21,73.5,77.7,73.5,75.9,975,3377177,257091722.1
4/8/21,71,74.6,70.5,73.9,654,1143019,83718547.8
4/7/21,75,76,72,73.2,1329,3822882,283307328.1
4/6/21,68,75,67.9,74,1879,5348196,385571765.5
4/5/21,64.7,69.4,64.2,67.4,1141,2773511,186192686.1
4/1/21,61.6,64.3,61.1,63.4,610,1208041,75984293.8
3/31/21,59,61.5,58,60.8,477,1107321,66549712.4
3/30/21,59.5,59.5,58.1,58.7,233,825779,50130025.1
3/29/21,58.2,59.8,57.7,59.3,239,750354,44481255.4
3/26/21,56,59.5,56,58.6,344,3126840,186166670.4
3/25/21,59,59,56,57.1,306,658679,38042900.4
3/24/21,54.5,59,54.1,58.3,531,1301528,74698645.1
3/23/21,55,55.7,54,55.1,277,341542,18754205.6
3/22/21,53,55.3,53,54.5,311,524462,28630893.7
3/19/21,53.6,54,52.1,52.9,283,401412,21239528.6
3/18/21,56,56,53.4,53.6,427,1467283,79007708.1
3/17/21,57,57,54.6,55,401,1119151,61610827.8
3/16/21,59,59,54.2,56.3,572,619447,34520070.7
3/15/21,60.9,60.9,58,58.7,334,490587,29135028.3
3/12/21,60,62,60,60.7,281,400686,24402828.4
3/10/21,60.1,61,58.5,59.3,262,280226,16652369.5
3/9/21,62.3,65,58.7,60.5,828,2516546,157117951.6
3/8/21,56,61.2,54.9,60.4,948,2344516,138132322.1
3/5/21,53.6,55.5,52,54.5,595,1625088,87692522.8
3/4/21,55.2,57.4,52,52.5,613,2171484,117478464.4
3/3/21,57,58,52.2,54.6,699,1666792,91651970
3/2/21,61,61,57,57.7,787,1306121,75891758.6
3/1/21,61.8,63.1,60.1,60.6,379,583558,35972378.3
2/25/21,64,64,60,62,485,989490,61234042.6
2/24/21,60,65.4,59,61.3,559,1204036,75722782.7
2/23/21,65,65,57,60.5,842,1201078,73834920.4
2/22/21,70,70,65.7,66,583,961304,64111748.7
2/19/21,73.5,74,66,70.1,690,675775,48001594.7
2/18/21,72.1,74.8,70.5,73.1,1130,1955138,142181096.5
2/17/21,65.5,71,62,68.8,1150,2989810,200678911.3
2/16/21,70,73,64.3,65.5,1927,3688484,249694149.7
2/10/21,740,740,650.25,680.5,1021,350977,244852357
2/9/21,780,780,730,746.5,572,149470,111096911.3
2/8/21,791,805,770,776,965,268159,211484144.8
2/5/21,749,790,735,781.75,577,285188,217730212.5
2/3/21,730,755,700,734.5,613,206289,151468035.5
2/2/21,772,799,650,711.25,934,426133,314565257
2/1/21,772,772,731,741.5,678,326743,244830858
1/29/21,810,815,755.5,772,600,298588,234709721.3
1/27/21,795,820,780,802.25,724,341165,272565062.5
1/26/21,798.75,839,789,792,1254,585754,470438749.8
1/25/21,749,799.75,720,793,1330,731703,566062407.3
1/22/21,800,810,735,752,1642,524195,399967523
1/21/21,720,860,630,780,2941,1833706,1307248420
1/20/21,499.75,600,495,577.5,1425,1095413,586630443.3
1/19/21,500,510,480.25,497.5,317,371424,185262763.3
1/18/21,500,514.75,491.25,498.25,462,508894,254377112
1/15/21,471,499.5,471,491.25,581,559479,273242288.3
1/13/21,455,490,455,470.25,426,374957,177870800.8
1/12/21,430,456,430,452.5,701,1065481,472196122.3
1/11/21,420,427.75,415.25,425.75,344,717851,304779576.5
1/8/21,419,419,415,416.75,81,26420,11004677.25
1/7/21,425,425,415,417.9,266,153871,64423754.6
1/6/21,425,430,421,426,356,483880,206381287.8
1/5/21,416,420.5,414,419.2,233,237896,99407115.6
1/4/21,415,416.9,410.1,415.2,259,146804,60944744
12/31/20,419.1,420,413.9,414.5,393,138841,57656114.7
12/30/20,423,425.5,415,418.5,389,151733,63614430.9
12/28/20,410,425,408,422.8,513,213031,88380048.7
12/24/20,390,410,390,407.3,773,2289325,908154278.6
12/23/20,385,390,382,386,39,13011,5036913.9
12/22/20,389.3,390,385,388,48,13561,5257285.9
12/21/20,381.3,391,378,385.5,78,36746,14301656.8
12/18/20,389.5,389.5,381.1,385.1,42,22499,8676267.3
12/17/20,390.1,392,385,388.2,89,48714,18943738
12/16/20,391.5,392,387.9,390,106,58636,22900446
12/15/20,389,393,388.5,391.5,142,57045,22292160.8
12/14/20,370,397,368,388.7,308,296770,112892288.3
12/11/20,375,375,370,373,128,46608,17357003.8
12/10/20,377.5,378,372,373,125,41833,15674623.6
12/9/20,376.5,382,372,373.8,197,87708,33019980.9
12/8/20,375,378,375,376.2,113,33425,12578106.5
12/7/20,382.1,383,371,377.7,118,35894,13625403.8
12/4/20,387,387,380,380.9,167,165954,63407136.3
12/3/20,387.2,387.3,380.1,383.4,148,41438,15937880.7
12/2/20,387.5,389,385,387,119,57434,22242276.2
12/1/20,385,388,385,387.7,180,128457,49776361.1
11/30/20,388,388,383.5,385,195,56336,21736430.1
11/27/20,387,387.9,385,385.3,143,31680,12246752.8
11/26/20,385,390,380,384.6,235,119800,46242300
11/25/20,369.5,395,369.5,383.5,353,95481,36639106.3
11/24/20,360,369.5,359.2,360.3,170,66041,23781157.3
11/23/20,365,365,358.1,359.2,86,40258,14500778.5
11/20/20,365,365,362,364,58,6806,2473338.2
11/19/20,370,370,361,362.4,104,59686,21607355
11/18/20,375,378,360.2,365.8,134,19981,7382150.2
11/17/20,365,374,365,373.4,171,72971,26972458.6
11/16/20,369.5,370,360,364.9,113,38722,14005231.7
11/13/20,380,380,368,370.7,167,40660,15061619.5
11/12/20,385,385,374,378,160,30077,11409058.5
11/11/20,390,391,356,383.5,696,477913,180359979.8
11/10/20,448,448,379,384.6,1237,484047,195274604.5
11/9/20,450,450,421,439.5,724,497563,218852725.5
11/6/20,410,445,410,427.7,1166,1046294,444515139.7
11/5/20,340,395,340,378.4,979,1175121,438159736.4
11/4/20,339.9,340,330,335.2,96,45157,15194277.1
11/3/20,310,335,309.5,331.1,188,96744,31421918.1
11/2/20,305,313.3,300,308.9,53,23860,7356339.6
10/29/20,299.5,317.5,299.5,313.7,92,37242,11563470.2
10/28/20,308,308,290,292.5,109,30509,9053487.1
10/27/20,304.1,305,300,300.7,75,25349,7635241.2
10/26/20,298,306.3,290,300.7,116,67306,20064318.4
10/23/20,320,320,304,308.7,105,25153,7792474.6
10/22/20,290,320,281,310.5,254,87889,27237293.1
10/21/20,325,326,290,294.8,431,176212,53415645.5
10/20/20,329.9,333.8,310,325.7,237,78521,25221907.8
10/19/20,343.3,345,300,327.3,160,35034,11729341.2
10/16/20,351.7,351.7,332,343.3,184,59260,20265051.1
10/15/20,350,375,340,351.7,475,192033,69040280.8
10/14/20,273,335,273,319.5,485,241283,74204103.7
10/13/20,270,273.9,267,271.5,84,46589,12593674.7
10/12/20,269.9,272,265,269.9,56,38598,10422445.8
10/9/20,260,269.9,260,260.9,76,29719,7796842.1
10/8/20,260,266.9,259,260.1,88,22786,5947446.8
10/7/20,249,264.8,244,254.3,128,43396,11133116
10/6/20,250,279,242,249.1,198,49523,12422874.4
10/5/20,270,274,251,255.4,219,151259,39752025.6
10/2/20,280,288.9,277.8,284.5,59,19804,5600654.9
9/30/20,280,290,275,279.9,99,41921,11747441.8
9/29/20,294.9,294.9,275,288.4,102,26752,7731294
9/28/20,270,294.9,270,286.8,174,45743,12867322.4
9/25/20,269.9,270,265.4,268.7,60,14257,3835250
9/24/20,264.9,270,263.6,267.8,87,37005,9895128.3
9/23/20,261,265,250,259.4,115,59453,15186672.1
9/22/20,239,270,239,259.9,338,133750,34306763.2
9/21/20,230,236.4,224.3,234.8,92,2031566,467322858.9
9/18/20,230,230,222,224.3,59,15827,3564418.6
9/17/20,235,235,222,227.8,63,17614,4032326.2
9/16/20,235,237,230,232.4,58,9696,2268035.3
9/15/20,214.4,230,214.4,227.1,176,123580,27699237.5
9/14/20,207.5,214,207.5,213.6,70,59201,12474674
9/11/20,205,209.5,205,207.6,29,22117,4574391.4
9/10/20,205,207.8,204,207,43,81963,16947999.5
9/9/20,196,206,196,203.8,91,125913,25415341.7
9/8/20,190.1,205,190.1,199.9,82,56240,11237478.5
9/7/20,190,193,189.9,192.7,29,30824,5931803.9
9/4/20,189.9,193,189.1,192.3,26,6839,1305581.2
9/3/20,193,193,189,189.6,20,5525,1046654
9/2/20,193,193,188,190.2,17,8978,1706495.4
8/31/20,185.1,194.8,185.1,187.5,27,7959,1490924.3
8/28/20,183,186.4,183,185,38,17186,3174858.5
8/27/20,184.9,184.9,183,183.7,29,8313,1526671.5
8/26/20,183.5,185,182.9,184.1,36,9324,1709095.4
8/25/20,188,188,185,186,21,9366,1733803
8/24/20,186.6,188,185,185.7,31,5187,963248.9
8/21/20,183,187.5,183,186.6,37,13252,2460064
8/20/20,182,192,179,187.2,107,50935,9244729.7
8/19/20,190,190,177,181.5,83,15005,2782505
8/18/20,194,194,189,189.9,42,26738,5095928.2
8/17/20,200,200.1,189.9,193,170,157958,31377759.8
8/14/20,200,202.5,193,200.8,194,130851,26052359
8/13/20,175.1,199,175.1,192.6,196,80624,15122528.2
8/12/20,167,174.9,165,172.1,66,41655,7094303
8/11/20,166,166.8,162.5,165.6,27,4250,704112.5
8/10/20,162,167,162,166.2,41,34045,5617389.1
8/7/20,162.9,167,162.9,166.2,68,53009,8708023.7
8/6/20,158.2,162.9,158.1,162.2,29,17446,2767086.5
8/5/20,158.9,162,158.9,160,22,30253,4812997.9
8/4/20,158.5,159.9,158,158.8,42,36692,5822091.7
7/31/20,158.4,159,156,157.9,18,2704,428219.9
7/30/20,160,160,156,156.5,31,1814,286402.4
7/29/20,159.9,160,157,157,10,4155,660321.1
7/28/20,156.1,160,155.2,159.2,18,654,104065
7/27/20,160.1,161,157,158,63,28976,4594807.5
7/24/20,162,165,160,162.1,66,47916,7726613
7/23/20,150,164.4,150,161.1,112,40000,6198258
7/22/20,142,150,142,150,119,30872,4590993.9
7/21/20,145,145,137,139.9,42,68113,9523071.1
7/20/20,136,140,135,138.5,22,11630,1590650.5
7/17/20,135,135.2,135,135.2,5,2950,398340
7/16/20,133.5,134.9,131,134.8,13,39305,5250585.5
7/15/20,133,134.5,130.5,133.5,20,15205,2029122.8
7/14/20,130.3,134.5,130.3,134.5,10,6845,917898.6
7/13/20,131.1,132,130,130.1,20,5408,705201.1
7/10/20,135,135,130,132.8,38,29650,3861276.4
7/9/20,136,136,135,135,8,1092,148131.7
7/8/20,135,135,132,132.6,39,57579,7637690.5
7/7/20,134,135,134,135,9,40111,5409985
7/6/20,131,133,130,131.3,47,33608,4392724
7/3/20,133,133,131.5,132,27,15289,2019515.7
7/2/20,133.1,138.9,132,133,45,20361,2691181
7/1/20,139,139,136,137.5,9,1480,203658.5
6/30/20,137,138.9,135,135,19,53085,7174245.4
6/29/20,139,139,136.2,137.9,6,580,79957.7
6/26/20,136.2,138.9,136.2,138.7,6,441,60677.6
6/25/20,139.4,139.4,137.5,137.5,30,9518,1321072.1
6/24/20,137.9,140,136.5,137.3,18,1650,229924.5
6/23/20,129.8,135.1,129.8,134.8,60,104228,13619605
6/22/20,129.8,129.8,128.2,128.6,47,10771,1386398.1
6/19/20,129.5,129.5,128.1,128.2,46,8174,1052490.4
6/18/20,129,129,128.9,128.9,55,7471,963728.5
6/17/20,127.5,129.5,127.5,128.1,42,28509,3674776
6/16/20,129,129,128,129,22,2024,260346
6/15/20,128.8,129,128.8,129,10,242,31217.8
6/12/20,129.8,129.8,127,129,41,7786,998959.9
6/11/20,129.8,129.8,129.8,129.8,16,925,120065
6/10/20,130,130,129,129.4,37,3899,504975.3
6/9/20,130,130,128.2,129.8,63,70747,9196772.9
6/8/20,130,130,128.1,130,14,396,51394.5
6/4/20,130,130,130,130,19,29248,3802240
6/3/20,130,130,129.7,130,6,4241,551327
6/2/20,130,130,129.6,130,33,6119,795326.9
6/1/20,130.4,130.4,130,130,22,1392,181112.3
5/29/20,134,134,130.1,130.4,24,4215,550771.5
5/28/20,134,134,133,133,15,1487,197785
5/27/20,130.1,130.1,130,130,32,10260,1333911
5/26/20,133,134,130,131.2,34,3506,459434
5/22/20,135,135,134.8,134.9,11,2040,275247.3
5/21/20,137,137,134,134.4,19,1719,233050.7
5/20/20,136,138,130,130.2,18,2822,373764.9
5/19/20,134,135,130,131.4,25,5392,711937.6
5/18/20,131,135,130,130.9,34,4908,646344.1
5/15/20,130,133,126,129.8,38,3869,502825.1
5/14/20,125,130,123,125,29,31558,3942739.3
5/13/20,120,130,119,124.3,13,231,28436.5
5/12/20,115,115,107,109.7,49,20043,2247232.1
5/11/20,120,120,120,120,8,470,56400
3/20/20,124,124,123,123.6,11,3350,414163.2
3/13/20,131.5,139.5,123.5,134,71,5342,694555.1
3/12/20,133,140,131,132.8,50,7883,1043543
3/11/20,135.1,165,135.1,140,19,9322,1306768.9
3/10/20,143,143,131,135.1,53,17540,2398787.1
3/6/20,150,150,142,142.7,39,6767,983565
3/5/20,153,155,150,150,28,6473,971750.7
3/4/20,155,155,153,153.7,13,1251,192681.2
3/3/20,157.5,157.5,156,156.2,17,3219,505517
3/2/20,155,157.5,155,155.1,6,465,72110.4
2/28/20,154.9,154.9,154.9,154.9,2,210,32529
2/27/20,158.6,158.6,157.5,157.5,3,3410,537086
2/26/20,158.6,160,157.1,158.7,12,212,33634.8
2/25/20,159.6,159.6,158,158.6,10,250,39602.6
2/24/20,,,,160,1,307051,49128160
2/20/20,161,162,160,160,18,5061,809970
2/19/20,160,161,160,161,8,313,50261.3
2/18/20,161.8,169,160,160,38,1780,287733.5
2/17/20,160,161,159,159.6,13,1021,163089.5
2/14/20,162,163,160,160,23,1334,214147
2/13/20,160,160,156.5,156.6,7,4981,794422
2/12/20,160,160.5,157,160,11,5247,839462.6
2/11/20,157,160,157,160,10,958,153268
2/10/20,162,162,159,159.3,23,782,125297.1
2/7/20,161.5,162,160.3,161.2,6,210,33847.1
2/6/20,163.7,165,161.5,164.6,12,1834,302423.5
2/5/20,163.7,163.7,163.7,163.1,2,95,15551.5
2/3/20,160,163.7,160,163.1,5,55,8875.5
1/31/20,160.2,163.5,160,163.1,8,1989,324387
1/29/20,157,163.6,157,163.6,7,532,86907.6
1/28/20,157,164.9,156,156.2,15,2907,453964.5
1/27/20,163,163,155,158.1,22,9548,1495704
1/24/20,164.8,165,163,164.5,9,1255,206940.1
1/23/20,162.2,164.9,162.2,164.8,3,308,50767.6
1/22/20,169.8,169.8,162.2,162.3,12,1140,186076.8
1/21/20,165,169.7,165,165.4,3,115,19017.3
1/20/20,162,162,162,162.1,2,12,1944
1/14/20,163,169.8,162,162.1,3,104,16858.8
1/13/20,169.9,169.9,169.9,163.7,1,2,339.8
1/9/20,160,164.9,160,163.7,11,8860,1450395
1/8/20,165.5,165.5,160,160,31,14787,2369582.8
1/7/20,166.6,166.6,166.5,166.5,13,4802,799533.2
1/6/20,169.8,169.8,169.8,170.7,1,5,849
1/3/20,170.5,171,170,170.7,31,9903,1690389
1/2/20,173.9,173.9,173.9,174.9,1,30,5217
